employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Male,New York,Rochester,2016-04-16,Operations,Inventory Specialist,Bachelor,64669,Good,No,1986-09-26,2023-06-27
00-42868828,John,Taylor,Female,New York,Buffalo,2017-02-09,Operations,Logistics Coordinator,Bachelor,56576,Satisfactory,No,1983-05-26,2018-07-27
00-83197857,Erica,Mcclain,Male,New York,Buffalo,2016-02-03,Sales,Sales Specialist,PhD,77228,Excellent,No,1974-10-31,2019-12-04
00-13999315,Brittany,Johnson,Male,Ohio,Cincinnati,2016-02-06,Operations,Inventory Specialist,Bachelor,74605,Good,No,1969-12-19,2023-06-16
00-90801586,Jeffery,Wagner,Male,New York,Rochester,2015-01-11,Customer Service,Customer Service Representative,Bachelor,68815,Good,Yes,1980-02-17,2022-09-09
00-97226012,Anna,Baldwin,Male,New York,Buffalo,2022-09-30,Operations,Inventory Specialist,Bachelor,64620,Good,No,1974-09-28,2023-03-29
00-70291817,Amy,Robinson,Male,New York,Rochester,2020-08-16,Operations,Operations Analyst,Master,79340,Needs Improvement,No,1974-11-04,2021-02-12
00-31429110,Joshua,Booth,Male,New York,Rochester,2022-10-22,Finance,Financial Analyst,Bachelor,97255,Satisfactory,No,2000-07-16,2023-10-29
00-30868105,Linda,Wolfe,Female,Michigan,Warren,2017-05-13,Operations,Inventory Specialist,High School,53974,Satisfactory,Yes,1986-08-01,2023-07-28
00-22448136,Joshua,Lewis,Female,Pennsylvania,Allentown,2018-10-24,Customer Service,Help Desk Technician,High School,86309,Needs Improvement,No,1965-05-03,2022-09-08
00-56164955,Matthew,Davis,Female,Michigan,Grand Rapids,2021-02-07,Customer Service,Customer Service Representative,Bachelor,54732,Needs Improvement,No,1988-11-04,2021-08-06
00-71662963,Michael,Cooper,Male,North Carolina,Charlotte,2020-04-12,Sales,Sales Representative,Bachelor,63527,Needs Improvement,No,1971-10-02,2020-10-09
00-84093639,Lindsay,Blair,Male,North Carolina,Raleigh,2017-07-28,Marketing,SEO Specialist,Bachelor,72564,Excellent,No,1970-02-24,2021-06-12
00-58537831,David,Nielsen,Male,Michigan,Warren,2020-01-31,Operations,Inventory Specialist,Bachelor,73023,Excellent,Yes,1981-12-30,2024-05-13
00-16150444,Andrea,Calderon,Male,New York,Rochester,2022-08-29,Finance,Financial Analyst,PhD,92596,Satisfactory,Yes,1983-05-20,2023-02-25
00-41244663,Nicole,Ward,Female,New York,Rochester,2023-03-16,Operations,Inventory Specialist,Bachelor,62781,Good,No,1999-05-10,2024-08-18
00-70855700,Janet,Williams,Male,Michigan,Warren,2021-03-30,IT,Software Developer,Bachelor,93698,Good,No,2003-11-09,2021-09-26
00-59684848,Kendra,Galloway,Male,New York,Buffalo,2018-11-29,Operations,Operations Analyst,Master,87472,Good,No,1970-06-04,2020-11-03
00-96977837,Jesse,Garcia,Female,Illinois,Chicago,2016-04-17,Operations,Inventory Specialist,High School,59021,Good,No,1982-12-15,2021-05-05
00-81691040,Shawn,Flowers,Female,North Carolina,Raleigh,2022-03-05,Operations,Operations Analyst,Bachelor,56159,Satisfactory,No,1971-12-12,2022-09-01
00-60929647,Mitchell,Clark,Female,New York,Buffalo,2017-04-14,Operations,Logistics Coordinator,Bachelor,59202,Satisfactory,No,1988-04-19,2021-07-20
00-84752529,Jacqueline,Sutton,Male,Virginia,Virginia Beach,2017-01-28,Sales,Sales Representative,Bachelor,74585,Good,No,1986-07-25,2022-05-09
00-17507864,Chelsea,Jackson,Male,New York,Rochester,2017-10-11,Customer Service,Support Specialist,High School,60909,Good,No,2000-07-29,2024-11-01
00-52339391,John,Ford,Female,New York,Buffalo,2019-04-15,Customer Service,Support Specialist,Bachelor,52767,Good,No,1979-03-26,2019-10-12
00-86125617,Veronica,Bowman,Male,New York,Buffalo,2023-08-05,IT,Software Developer,Bachelor,95810,Satisfactory,No,1978-05-12,2024-10-29
00-97971488,Jeffrey,Nguyen,Female,New York,New York City,2020-10-25,Marketing,SEO Specialist,High School,64133,Good,No,2003-11-26,2021-04-23
00-29175900,Kimberly,Perez,Male,New York,New York City,2017-01-13,Sales,Sales Specialist,PhD,60813,Excellent,No,1994-07-26,2017-07-12
00-85345555,Linda,Morales,Male,New York,Buffalo,2020-01-26,Marketing,Marketing Manager,PhD,84166,Excellent,No,1988-11-06,2022-08-06
00-67503414,Jason,Hahn,Female,Pennsylvania,Philadelphia,2023-12-07,Operations,Logistics Coordinator,Bachelor,53905,Excellent,No,1996-10-27,2024-06-04
00-39436733,Jennifer,Lewis,Male,Michigan,Grand Rapids,2024-07-12,Sales,Sales Representative,Bachelor,78693,Excellent,No,1987-05-10,2025-01-08
00-76238574,Randall,Rocha,Female,New York,New York City,2016-06-27,IT,IT Manager,Master,115377,Satisfactory,No,1982-05-10,2017-09-30
00-24716857,Douglas,Taylor,Female,New York,New York City,2017-10-17,Sales,Sales Specialist,Bachelor,59274,Good,Yes,1985-08-30,2018-04-15
00-66661351,Anna,Baker,Female,New York,New York City,2020-08-15,Sales,Sales Consultant,Master,81225,Satisfactory,No,1993-07-29,2021-02-11
00-89978790,Ross,Silva,Male,Illinois,Naperville,2024-05-20,Marketing,Content Creator,Bachelor,66915,Good,No,1975-03-12,2024-11-16
00-84252722,Jeffrey,Bright,Female,New York,Rochester,2023-07-17,Operations,Logistics Coordinator,Bachelor,57268,Good,No,1994-11-06,2024-01-13
00-25374874,Trevor,Campos,Male,New York,New York City,2022-12-01,Customer Service,Support Specialist,High School,54775,Good,No,1996-09-09,2023-05-30
00-45812670,Daniel,Burton,Male,Illinois,Chicago,2022-11-04,Operations,Inventory Specialist,Bachelor,67734,Good,No,1972-01-29,2023-05-03
00-49392920,Erin,Carlson,Female,New York,New York City,2019-05-30,IT,IT Support Specialist,Bachelor,60620,Good,No,1967-09-30,2024-09-14
00-45351479,Patrick,Ferrell,Male,Pennsylvania,Allentown,2024-07-24,Marketing,Content Creator,Bachelor,67976,Good,Yes,1992-03-12,2025-01-20
00-24282218,John,Tran,Male,New York,Rochester,2023-01-05,Operations,Operations Analyst,Master,72758,Good,No,1987-03-01,2023-07-04
00-95758349,Erin,Wilson,Male,New York,Rochester,2020-12-09,Operations,Inventory Specialist,Bachelor,61602,Good,No,1980-08-30,2021-06-07
00-60185867,Amanda,Adams,Male,New York,New York City,2022-09-06,Customer Service,Support Specialist,High School,66087,Satisfactory,Yes,1982-06-04,2023-03-05
00-81182864,Matthew,Carter,Male,New York,Rochester,2024-03-02,Marketing,Marketing Coordinator,Bachelor,59563,Good,No,1984-12-30,2024-08-29
00-75579548,Shawn,Mckay,Male,New York,Buffalo,2015-12-07,Sales,Sales Specialist,Master,80562,Good,Yes,1981-12-18,2016-06-18
00-51273847,Jennifer,Stanton,Female,Illinois,Naperville,2017-10-23,Operations,Logistics Coordinator,Bachelor,61782,Good,Yes,1994-06-16,2022-04-19
00-20570592,Guy,Gaines,Male,Michigan,Grand Rapids,2016-12-04,Operations,Logistics Coordinator,Bachelor,72180,Good,Yes,1985-01-17,2018-02-18
00-19289546,Colleen,Skinner,Male,New York,Buffalo,2024-07-16,Sales,Sales Specialist,Master,80072,Good,No,1968-09-20,2025-01-12
00-26879290,Chelsea,Hernandez,Male,New York,Buffalo,2016-10-23,Customer Service,Customer Service Representative,High School,59049,Satisfactory,No,2003-08-28,2023-10-29
00-32162965,Evan,Ashley,Male,New York,Buffalo,2017-12-25,Finance,Accountant,Bachelor,91493,Good,No,1982-04-09,2024-03-31
00-38427073,Alyssa,Smith,Female,New York,New York City,2024-05-05,Customer Service,Help Desk Technician,High School,63099,Excellent,No,1991-06-28,2024-11-01
00-36998038,Tracy,Rodriguez,Male,New York,Rochester,2022-05-21,Sales,Sales Specialist,Bachelor,74620,Good,Yes,1994-10-20,2022-11-17
00-97225156,Natasha,Decker,Male,New York,Buffalo,2018-04-30,Marketing,SEO Specialist,Bachelor,94163,Good,No,1986-12-10,2024-03-06
00-26240908,John,Allen,Male,New York,Buffalo,2017-08-09,Sales,Sales Specialist,Master,80999,Good,No,1966-10-06,2018-06-11
00-12823170,Stacey,Miller,Female,New York,Buffalo,2020-07-07,Marketing,Content Creator,Bachelor,61494,Good,No,1986-12-17,2021-05-20
00-39557077,Lisa,Spence,Male,Ohio,Cleveland,2015-07-26,Operations,Logistics Coordinator,Bachelor,66408,Needs Improvement,Yes,1979-07-20,2018-09-11
00-17901903,Katie,Anderson,Male,New York,Buffalo,2017-07-04,Operations,Logistics Coordinator,Bachelor,61690,Good,No,1972-06-16,2017-12-31
00-54349361,Stacey,Martin,Female,New York,Rochester,2016-07-23,IT,Software Developer,Master,90964,Satisfactory,No,2004-11-07,2017-01-25
00-99788677,Monique,Henderson,Male,Virginia,Richmond,2019-03-24,IT,System Administrator,Master,63582,Good,No,1978-11-26,2019-09-20
00-86644106,Sarah,Campos,Female,New York,Rochester,2020-09-24,Customer Service,Support Specialist,High School,57187,Excellent,No,1986-01-01,2021-03-23
00-73481353,James,Collins,Female,Michigan,Warren,2023-09-18,Operations,Logistics Coordinator,Bachelor,54942,Good,Yes,2003-03-23,2024-03-16
00-23009833,Debra,Kim,Female,Michigan,Grand Rapids,2022-07-21,Operations,Inventory Specialist,High School,61722,Good,No,1991-08-18,2023-01-17
00-65177213,Shannon,Wright,Male,Michigan,Detroit,2019-01-25,Operations,Operations Analyst,Master,57773,Good,No,1988-12-25,2019-07-24
00-97705310,Matthew,Chapman,Female,Ohio,Columbus,2024-03-30,Customer Service,Help Desk Technician,Bachelor,67497,Satisfactory,No,1985-07-12,2024-09-26
00-64038913,Brianna,Smith,Female,Pennsylvania,Pittsburgh,2022-10-02,Operations,Inventory Specialist,Bachelor,62117,Needs Improvement,Yes,2001-05-19,2023-03-31
00-35714784,Crystal,Perez,Male,Michigan,Detroit,2017-12-18,Sales,Sales Consultant,Master,76301,Satisfactory,No,1975-02-21,2024-01-08
00-66623995,Anthony,Rivera,Female,New York,Buffalo,2017-07-19,Operations,Operations Analyst,Master,79084,Good,No,1994-03-13,2019-02-16
00-20117988,John,Caldwell,Male,Michigan,Detroit,2019-03-25,Customer Service,Support Specialist,High School,57064,Good,No,1971-02-15,2019-09-21
00-16789850,Amber,Cummings,Male,New York,Buffalo,2022-12-09,Customer Service,Customer Service Representative,High School,67461,Satisfactory,Yes,1990-02-28,2023-06-07
00-11980765,Ashley,Kennedy,Male,New York,Rochester,2024-10-31,Customer Service,Help Desk Technician,High School,71272,Good,No,2001-04-01,2025-04-29
00-64547971,Thomas,Russell,Female,New York,Buffalo,2019-02-06,Operations,Logistics Coordinator,Bachelor,62021,Satisfactory,Yes,1994-02-28,2022-06-11
00-63826716,Collin,Jordan,Male,New York,Rochester,2023-06-14,Operations,Operations Analyst,Bachelor,71561,Needs Improvement,No,2004-10-29,2023-12-11
00-10289289,Robert,Shields,Male,Virginia,Norfolk,2024-01-22,Customer Service,Help Desk Technician,Bachelor,81687,Good,Yes,1992-12-18,2024-08-27
